material,exp_id,iteration,replication,writeLatency_mean,writeEnergy_mean,L2_norm_Error,Loo_norm_Error
AlOx-HfO2,exp1,50,9,13.947761198524628,0.0027441028017952977,0.38658700796599793,0.20381359388173692
AlOx-HfO2,exp2,100,1,28.39998464552204,0.00816966362169491,4.385855868713486,0.6437620667694262
AlOx-HfO2,exp2,100,10,28.416504645522053,0.00815801813014044,5.322815635028742,0.8362814885876482
AlOx-HfO2,exp2,100,2,29.252984645522055,0.008464701745229893,4.6329065649082555,0.7286644454009696
AlOx-HfO2,exp2,100,3,28.40482464552205,0.008176648387694722,2.2861001265304237,0.36282882143545336
AlOx-HfO2,exp2,100,4,28.941904645522037,0.008479679404520057,4.575914455366595,0.6932586961939151
AlOx-HfO2,exp2,100,5,29.252984645522055,0.00846480585751277,4.553424864586202,0.7163873670113077
AlOx-HfO2,exp2,100,6,28.432504645522037,0.008153616896182153,5.008747114096619,0.7688702154290681
AlOx-HfO2,exp2,100,7,28.405344645522053,0.008169891203821823,4.411992759997689,0.649211996348555
AlOx-HfO2,exp2,100,8,28.362904645522075,0.008155333675670146,5.282326781301941,0.8222067644998035
AlOx-HfO2,exp2,100,9,28.47782464552206,0.008171233021350964,4.865369996438938,0.7402699588842268
AlOx-HfO2,exp2,1,1,14.585480646455224,0.0036899380376993174,96.97230948637028,12.619467395439498
AlOx-HfO2,exp2,1,10,14.585480646455219,0.003692809902833523,96.30919099667224,12.539769999078631
AlOx-HfO2,exp2,1,2,14.585480646455224,0.0036715433703250443,101.29396844587765,13.131280185529734
AlOx-HfO2,exp2,1,3,14.585480646455224,0.003691372339668736,96.63979949032456,12.580345222069505
AlOx-HfO2,exp2,1,4,14.585480646455224,0.0036928102937190317,96.30919099667224,12.539769999078631
AlOx-HfO2,exp2,1,5,14.58548064645522,0.0036956926477407733,95.64825867805094,12.462396897960112
AlOx-HfO2,exp2,1,6,14.585480646455224,0.003679973669149592,99.29665099640978,12.893506697861636
AlOx-HfO2,exp2,1,7,14.585480646455224,0.003684227063195913,98.29804102991025,12.7762346870771
AlOx-HfO2,exp2,1,8,14.585480646455224,0.003684227132904461,98.29804102991025,12.7762346870771
AlOx-HfO2,exp2,1,9,14.58548064645522,0.0036785610810351156,99.62914325586108,12.932191773512379
AlOx-HfO2,exp2,50,1,27.50307232276101,0.007814606550772357,4.273191591032624,0.758102026370878
AlOx-HfO2,exp2,50,10,28.355632322761057,0.008161457998624519,3.5582376501692674,0.5427159378357267
AlOx-HfO2,exp2,50,2,28.355632322761057,0.008161496340290317,3.5974939423204475,0.5478941584093313
AlOx-HfO2,exp2,50,3,29.25295232276104,0.008464747606503635,4.533700193600721,0.7143889329285287
AlOx-HfO2,exp2,50,4,29.270272322761038,0.008467044873520038,4.777365898209427,0.7679479382900141
AlOx-HfO2,exp2,50,5,28.44315232276103,0.0081634316070448,5.168882053531845,0.804527963566489
AlOx-HfO2,exp2,50,6,28.426832322761022,0.00817161906901373,4.60316561262667,0.6875318212705395
AlOx-HfO2,exp2,50,7,28.40219232276105,0.008176579650067059,2.8976054384790904,0.4434722447676087
AlOx-HfO2,exp2,50,8,28.39995232276099,0.008169581996528572,4.385855868713486,0.6437620667694262
AlOx-HfO2,exp2,50,9,28.346352322761042,0.008164129480794419,4.243129549776929,0.6133112803060001
AlOx-HfO2,exp3,100,1,75.21935138227691,0.04055250578583678,3.8811701597100483,0.5774444870807649
AlOx-HfO2,exp3,100,10,77.50115138227702,0.042092415355697466,4.571295503526814,0.7296390471902576
AlOx-HfO2,exp3,100,2,76.65330138227692,0.0421532179058208,4.328325979106713,0.6550748300426505
AlOx-HfO2,exp3,100,3,75.21935138227691,0.0405707701663512,4.1343530729822024,0.609059207742721
AlOx-HfO2,exp3,100,4,73.94000138227663,0.038963136383908366,4.53117945929101,0.6777407643082896
AlOx-HfO2,exp3,100,5,76.0110513822767,0.04058753238510377,5.133400400472513,0.7907091949301872
AlOx-HfO2,exp3,100,6,75.74485138227647,0.04062121754813218,4.842213482698496,0.7231345749096327
AlOx-HfO2,exp3,100,7,75.53775138227677,0.04066741056824245,0.44796454537480546,0.23571970805833686
