material,exp_id,iteration,replication,writeLatency_mean,writeEnergy_mean,Loo_norm_Error,L2_norm_Error
Ag-aSi,exp2,21,96,3916442.398723544,20.05008236998547,0.014035622766186582,0.013842620510456514
Ag-aSi,exp2,21,97,3915656.354517385,20.035731028601823,0.006379002467327192,0.005474375903848517
Ag-aSi,exp2,21,98,3961792.7495604614,20.20986893244736,0.02114260592659592,0.020640866627202905
Ag-aSi,exp2,21,99,3918630.291246619,20.059091712131934,0.01140305383400852,0.011391347294002166
Ag-aSi,exp3,21,1,1000724.4202346324,10.225847987900492,0.010158938932279994,0.010153919252606716
Ag-aSi,exp3,21,10,1001171.7590269359,10.227381420328266,0.0025045797570947123,0.002293994339533511
Ag-aSi,exp3,21,100,999765.3132977098,10.223663571570254,0.00893430027644695,0.008928761296430906
Ag-aSi,exp3,21,11,1011188.6099961705,10.311077721146845,0.01646420380695965,0.015969970534553235
Ag-aSi,exp3,21,12,1000340.3080669432,10.22203302983911,0.01015222655592527,0.010148509722161912
Ag-aSi,exp3,21,13,1003938.4044884769,10.23909463304693,0.01057265974508834,0.01036556896287369
Ag-aSi,exp3,21,14,1001135.7515223253,10.228840764742253,0.003575338554624285,0.0033612689920139815
Ag-aSi,exp3,21,15,999802.6576669427,10.223148445907162,0.008946612217492649,0.008940352191911624
Ag-aSi,exp3,21,16,1000001.9511561675,10.218993303373447,0.014443323214396843,0.010269304344360764
Ag-aSi,exp3,21,17,999864.9802484806,10.215526488718552,0.005135320732555966,0.0051118093268125026
Ag-aSi,exp3,21,18,1001045.4165007881,10.229114656971833,0.01142649616275334,0.011422901939879306
Ag-aSi,exp3,21,19,999512.6482761675,10.212176929475671,0.005140618151066826,0.005131925653526521
Ag-aSi,exp3,21,2,1000701.9433438688,10.223882179174938,0.009950097311705902,0.009749282063000448
Ag-aSi,exp3,21,20,1001032.5672469465,10.228755976523914,0.010629297211546589,0.010385472861707042
Ag-aSi,exp3,21,21,989748.0050269403,10.136939993209825,0.016503677296856215,0.016111774936939213
Ag-aSi,exp3,21,22,1001643.4348669339,10.23345852761865,0.005812300567588359,0.005601570438307964
Ag-aSi,exp3,21,23,1000106.8048669394,10.226647713993485,0.008946363180011546,0.00894096534727352
Ag-aSi,exp3,21,24,999725.3726361789,10.221970894703832,0.008924008608577144,0.008917534963086709
Ag-aSi,exp3,21,25,999654.2983530973,10.220704661235416,0.007657600594411425,0.007649726598191919
Ag-aSi,exp3,21,26,1001045.4165007881,10.229114657125411,0.01142649616275334,0.011422901939879306
Ag-aSi,exp3,21,27,999650.187586945,10.22238274131732,0.008939982250449584,0.008934669056294212
Ag-aSi,exp3,21,28,999974.050482329,10.219977199349815,0.01264117189099954,0.012450188003746546
Ag-aSi,exp3,21,29,1000943.0202515585,10.227231284153403,0.010179951638542045,0.009175902336893407
Ag-aSi,exp3,21,3,999206.6837130975,10.209762303072484,0.0038553409145410346,0.00382873119443955
Ag-aSi,exp3,21,30,1000398.2676054033,10.222794339751232,0.0045252410681247785,0.004311994622469189
Ag-aSi,exp3,21,31,1001243.0561777062,10.231182399553486,0.0044656537365195025,0.004253750610783365
Ag-aSi,exp3,21,32,999034.7323992483,10.21693103934679,0.00842310854727534,0.008342873538127555
Ag-aSi,exp3,21,33,999802.6576669427,10.223148446001055,0.008946612217492649,0.008940352191911624
Ag-aSi,exp3,21,34,1000701.9433438688,10.223882179148621,0.009950097311705902,0.009749282063000448
Ag-aSi,exp3,21,35,1000062.6739023237,10.221962155037119,0.010046135720830336,0.008445083424874647
Ag-aSi,exp3,21,36,1005755.2822854033,10.264482461837948,0.0005241461590875456,0.0003080963824080719
Ag-aSi,exp3,21,37,1001158.1284207852,10.230282328343877,0.014036544155078651,0.014031546750121339
Ag-aSi,exp3,21,38,999633.4461100139,10.213591754946242,0.005144582430504212,0.005137322992395701
Ag-aSi,exp3,21,39,999421.596116174,10.213642126075005,0.009938911194860133,0.009745380247366417
