material,exp_id,iteration,replication,writeLatency_mean,writeEnergy_mean,Loo_norm_Error,L2_norm_Error
Ag-aSi,exp1,13,33,442.959939179697,0.002049017091733299,0.0028168900636211572,0.0013801933205807027
Ag-aSi,exp1,13,34,442.959939179697,0.002048980815744607,0.002502482006219444,0.001061071083624232
Ag-aSi,exp1,13,35,446.04288917969666,0.0020498701453077455,0.002897370938837691,0.001909075998071951
Ag-aSi,exp1,13,36,452.99433917969765,0.0020552943203672085,0.030818972504330352,0.018685750318712793
Ag-aSi,exp1,13,37,427.9212391796958,0.0019032157179537034,0.006942021987558276,0.005469729015261986
Ag-aSi,exp1,13,38,443.4972391796935,0.0020514179874122074,0.002211630724903876,0.0008600825452759112
Ag-aSi,exp1,13,39,448.9714891796945,0.0020559551374833974,0.025905516335420903,0.013592290745973692
Ag-aSi,exp1,13,4,451.14108917969696,0.0020647975267219557,0.041476002866036144,0.029326327557397724
Ag-aSi,exp1,13,40,452.3044891796966,0.00205513331661565,0.0026616554842811835,0.001669431730528837
Ag-aSi,exp1,13,41,445.13583917969754,0.0020463565938260778,0.03363058198216639,0.022513100806359185
Ag-aSi,exp1,13,42,440.8567891796981,0.002047345981013832,0.024593866515686284,0.012559827474011824
Ag-aSi,exp1,13,43,451.6990891796972,0.002065773758607937,0.048604975379260285,0.0309585589669252
Ag-aSi,exp1,13,44,446.74503917969736,0.0020592965297595287,0.024536483853267826,0.014571751648046877
Ag-aSi,exp1,13,45,453.6442891796946,0.0020518510852574603,0.03257283184225858,0.01966659012118826
Ag-aSi,exp1,13,46,452.81523917969736,0.0020529673162648482,0.004936642983944327,0.0013796582535709726
Ag-aSi,exp1,13,47,452.1076891796947,0.0020514961733746457,0.004465466436822101,0.0015837783624825423
Ag-aSi,exp1,13,48,446.56863917969724,0.00205445793571419,0.0033463509453568103,0.00212383575469277
Ag-aSi,exp1,13,49,444.3856891796965,0.0020516867661880944,0.02807098519716017,0.01591611987912599
Ag-aSi,exp1,13,5,428.2465891796962,0.0019116926564512625,0.025864145964493275,0.013473362845230557
Ag-aSi,exp1,13,50,447.9864391796975,0.002053132613205147,0.003736560687621974,0.0021845232922731214
Ag-aSi,exp1,13,51,449.194989179697,0.0020498786626622395,0.004210126031790128,0.0027718118165842806
Ag-aSi,exp1,13,52,450.2260891796958,0.0020599119868563226,0.0027939805357404465,0.0016911824420527452
Ag-aSi,exp1,13,53,453.717039179695,0.0020468477439504764,0.005758793219815768,0.004353302986003385
Ag-aSi,exp1,13,54,446.33988917969697,0.002054115871891588,0.028316008270972384,0.016223895964364084
Ag-aSi,exp1,13,55,446.04288917969666,0.0020498701453077455,0.002897370938837691,0.001909075998071951
Ag-aSi,exp1,13,56,444.14013917969845,0.0020442963990518776,0.0024255958843411364,0.001417058291238689
Ag-aSi,exp1,13,57,436.4668891796968,0.0020446096971475838,0.02292140097474105,0.010695041932159529
Ag-aSi,exp1,13,58,444.14013917969845,0.0020442963990518776,0.0024255958843411364,0.001417058291238689
Ag-aSi,exp1,13,59,460.9866391796975,0.0020697150013856765,0.04796354617317285,0.035689182892027965
