material,exp_id,iteration,replication,writeLatency_mean,writeEnergy_mean,L2_norm_Error,Loo_norm_Error,min_elapsed_time
AlOx-HfO2,exp1,60,5,75.21923082936594,0.04055228010575445,2.781908532798334,0.7644610896150468,2.6841304302215576
AlOx-HfO2,exp1,70,1,74.059610967594,0.038972133455214795,5.222547758558036,0.96012604753518,2.7860121726989746
AlOx-HfO2,exp1,70,2,75.86476096759382,0.04054706948381459,4.793421677948827,0.9639619998002047,2.8551106452941895
AlOx-HfO2,exp1,70,3,75.21926096759347,0.0405705177515005,3.2937169519861973,0.8408591336007234,2.787036418914795
AlOx-HfO2,exp1,70,4,76.64621096759389,0.04095474067226895,3.9225046117962545,0.9946322497205244,2.7623462677001953
AlOx-HfO2,exp1,70,5,77.55091096759362,0.04215031239812222,6.444541822105489,1.3310901310975982,2.8232624530792236
AlOx-HfO2,exp1,80,1,76.01099110582152,0.04058735930998434,5.009770107168761,1.0517092981480474,2.980043888092041
AlOx-HfO2,exp1,80,2,76.65324110582112,0.042152990049917204,6.708897455743424,1.327053849692815,2.996325969696045
AlOx-HfO2,exp1,80,3,75.54844110582155,0.04061354227823372,3.82523740467016,0.7518401835902928,3.0552051067352295
AlOx-HfO2,exp1,80,4,73.93334110582128,0.03896096447603414,4.941022496236279,0.9482413670644938,2.940455675125122
AlOx-HfO2,exp1,80,5,75.2990911058213,0.0405740755581298,3.3793350948314744,0.8290109571454174,2.9880332946777344
AlOx-HfO2,exp1,90,1,75.49527124404932,0.04060241101758184,3.731504408804166,0.7535305273401534,3.146235466003418
AlOx-HfO2,exp1,90,2,75.54532124404915,0.04060897985791044,4.725859258480736,0.9437461328739012,3.102492570877075
AlOx-HfO2,exp1,90,3,75.51872124404916,0.040606297277808054,4.561272833560629,0.9438172523726855,3.0748634338378906
AlOx-HfO2,exp1,90,4,76.97897124404915,0.04213984075959527,6.681641953772381,1.3474722113656998,3.0992586612701416
AlOx-HfO2,exp1,90,5,75.29912124404883,0.040574160732138216,3.3793350948314744,0.8290109571454174,3.1348845958709717
